Designator,Mid X,Mid Y,Rotation,Layer
C1,154.025,-97.075,45.0,top
C10,122.725,-102.275,270.0,top
C11,143.44,-49.4,0.0,top
C12,148.84,-49.5,180.0,top
C13,155.025,-73.675,225.0,top
C14,166.95,-81.6,225.0,top
C15,166.3,-93.025,135.0,top
C16,170.225,-88.3,135.0,top
C17,168.825,-89.725,135.0,top
C18,164.275,-95.2,135.0,top
C19,162.825,-96.625,135.0,top
C2,143.5,-85.325,45.0,top
C20,172.85,-92.6,225.0,top
C21,108.29,-45.94,90.0,top
C22,137.225,-57.85,0.0,top
C3,157.475,-72.225,135.0,top
C4,141.025,-87.825,45.0,top
C5,192.7,-112.5,90.0,top
C6,189.775,-112.525,270.0,top
C7,194.725,-112.5,270.0,top
C8,198.99,-78.46,180.0,top
C9,150.915,-109.13,0.0,top
D1,98.025,-80.175,180.0,top
D2,128.875,-57.125,270.0,top
D3,98.7,-86.675,270.0,top
D4,90.925,-109.45,270.0,top
FB2,171.675,-86.8,135.0,top
J1,210.56,-132.515,180.0,top
J10,220.145,-79.33,270.0,top
J11,220.165,-66.76,270.0,top
J12,220.185,-54.07,270.0,top
J13,120.695,-106.75,270.0,top
J14,220.165,-92.01,270.0,top
J15,119.795,-94.875,270.0,top
J16,221.535,-105.9,270.0,top
J17,221.535,-120.85,270.0,top
J18,87.96,-74.5,270.0,top
J19,88.06,-90.45,270.0,top
J2,175.41,-46.355,0.0,top
J20,129.25,-133.105,90.0,top
J3,159.99,-46.395,0.0,top
J4,191.035,-46.395,0.0,top
J5,206.54,-46.405,0.0,top
J6,98.395,-47.31,90.0,top
J7,185.3,-132.555,180.0,top
J8,197.88,-132.545,180.0,top
J9,172.74,-132.545,180.0,top
L2,133.925,-46.825,0.0,top
LS1,91.475,-116.2,90.0,top
Q1,88.175,-109.1375,90.0,top
Q2,117.5375,-102.275,0.0,top
R1,188.41,-91.545,180.0,top
R10,91.075,-84.075,180.0,top
R11,91.125,-96.825,180.0,top
R12,136.145,-110.24,0.0,top
R13,201.78,-125.4,270.0,top
R14,199.72,-125.36,270.0,top
R15,177.19,-125.45,270.0,top
R16,168.34,-125.47,270.0,top
R17,175.21,-125.45,270.0,top
R18,170.32,-125.48,270.0,top
R19,189.82,-125.51,270.0,top
R2,191.88,-91.545,0.0,top
R20,181.35,-125.53,270.0,top
R21,187.84,-125.5,270.0,top
R22,183.34,-125.53,270.0,top
R23,214.51,-125.4,270.0,top
R24,205.72,-125.42,270.0,top
R25,195.29,-125.47,270.0,top
R26,193.17,-125.47,270.0,top
R27,212.53,-125.39,270.0,top
R28,207.7,-125.4,270.0,top
R29,88.95,-105.475,270.0,top
R3,203.31,-78.43,180.0,top
R30,215.76,-104.96,0.0,top
R31,91.06,-80.87,180.0,top
R32,91.03,-68.11,180.0,top
R33,215.7775,-102.96,0.0,top
R34,215.8525,-119.97,0.0,top
R35,215.84,-117.85,0.0,top
R36,166.1,-76.025,45.0,top
R37,171.325,-91.15,45.0,top
R4,195.95,-73.7,90.0,top
R5,196.06,-77.79,270.0,top
R6,157.245,-109.12,180.0,top
R7,120.5,-102.25,270.0,top
R8,137.625,-77.475,180.0,top
R9,140.4,-78.2625,270.0,top
SW1,153.75,-114.4,180.0,top
SW2,132.775,-114.7,0.0,top
TP13,105.125,-61.375,0.0,top
U1,146.13,-44.6875,180.0,top
U2,190.95,-104.425,0.0,top
U3,155.150062,-85.410849,45.0,top
U4,120.21,-46.71,90.0,top
U5,201.1425,-72.67,90.0,top
U6,98.15,-90.5875,0.0,top
U7,97.88,-74.91,0.0,top
U8,106.335,-74.93,180.0,top
